student_id,attempt_id,course_id,semester,week,weekly_grade,attendance,assignment_score,quiz_score,submission_delay_days,corrections_count,assignment_completed,quiz_completed,midterm_score,attendance_rate_to_date,average_weekly_grade_to_date,average_assignment_score_to_date,average_quiz_score_to_date,mean_submission_delay_days_to_date,corrections_count_to_date,assignments_completed_to_date,quizzes_completed_to_date,midterm_score_available,final_exam_score_audit_only,final_course_score,final_gpa,course_outcome,learning_pace
S0001,S0001-PY101-1,PY101,1,1,86.7,100.0,,,0.0,0,0,0,,100.0,86.7,,,0.0,0,0,0,,,87.89,3.89,pass,ahead
S0001,S0001-PY101-1,PY101,1,2,72.75,100.0,,79.1,0.46,0,0,1,,100.0,79.72,,79.1,0.23,0,0,1,,,87.89,3.89,pass,ahead
S0001,S0001-PY101-1,PY101,1,3,83.47,100.0,93.31,,2.34,0,1,0,,100.0,80.97,93.31,79.1,0.93,0,1,1,,,87.89,3.89,pass,ahead
S0001,S0001-PY101-1,PY101,1,4,77.48,100.0,,,0.0,0,0,0,,100.0,80.1,93.31,79.1,0.7,0,1,1,,,87.89,3.89,pass,ahead
S0001,S0001-PY101-1,PY101,1,5,94.84,100.0,,95.34,0.36,0,0,1,,100.0,83.05,93.31,87.22,0.63,0,1,2,,,87.89,3.89,pass,ahead
S0001,S0001-PY101-1,PY101,1,6,87.57,100.0,95.17,,1.73,0,1,0,,100.0,83.8,94.24,87.22,0.81,0,2,2,,,87.89,3.89,pass,ahead
S0001,S0001-PY101-1,PY101,1,7,83.88,100.0,,,0.0,0,0,0,84.76,100.0,83.81,94.24,87.22,0.7,0,2,2,84.76,,87.89,3.89,pass,ahead
S0001,S0001-PY101-1,PY101,1,8,94.63,100.0,,100.0,1.5,0,0,1,84.76,100.0,85.17,94.24,91.48,0.8,0,2,3,84.76,,87.89,3.89,pass,ahead
S0001,S0001-PY101-1,PY101,1,9,99.49,100.0,89.76,,0.8,0,1,0,84.76,100.0,86.76,92.75,91.48,0.8,0,3,3,84.76,,87.89,3.89,pass,ahead
S0001,S0001-PY101-1,PY101,1,10,98.75,100.0,,,0.0,0,0,0,84.76,100.0,87.96,92.75,91.48,0.72,0,3,3,84.76,,87.89,3.89,pass,ahead
S0001,S0001-PY101-1,PY101,1,11,86.86,100.0,,82.99,0.63,0,0,1,84.76,100.0,87.86,92.75,89.36,0.71,0,3,4,84.76,,87.89,3.89,pass,ahead
S0001,S0001-PY101-1,PY101,1,12,90.95,100.0,94.17,,0.51,0,1,0,84.76,100.0,88.11,93.1,89.36,0.69,0,4,4,84.76,,87.89,3.89,pass,ahead
S0001,S0001-PY101-1,PY101,1,13,94.51,100.0,,,0.0,0,0,0,84.76,100.0,88.61,93.1,89.36,0.64,0,4,4,84.76,,87.89,3.89,pass,ahead
S0001,S0001-PY101-1,PY101,1,14,100.0,100.0,,,0.0,0,0,0,84.76,100.0,89.42,93.1,89.36,0.59,0,4,4,84.76,99.8,87.89,3.89,pass,ahead
S0001,S0001-DS102-1,DS102,1,1,83.86,100.0,,,0.0,0,0,0,,100.0,83.86,,,0.0,0,0,0,,,88.65,3.92,pass,ahead
S0001,S0001-DS102-1,DS102,1,2,75.79,100.0,,77.01,0.29,2,0,1,,100.0,79.82,,77.01,0.15,2,0,1,,,88.65,3.92,pass,ahead
S0001,S0001-DS102-1,DS102,1,3,87.93,0.0,89.41,,0.88,0,1,0,,66.67,82.53,89.41,77.01,0.39,2,1,1,,,88.65,3.92,pass,ahead
S0001,S0001-DS102-1,DS102,1,4,100.0,100.0,,,0.0,0,0,0,,75.0,86.89,89.41,77.01,0.29,2,1,1,,,88.65,3.92,pass,ahead
S0001,S0001-DS102-1,DS102,1,5,91.89,100.0,,79.44,0.94,0,0,1,,80.0,87.89,89.41,78.22,0.42,2,1,2,,,88.65,3.92,pass,ahead
S0001,S0001-DS102-1,DS102,1,6,78.74,100.0,90.34,,3.84,0,1,0,,83.33,86.37,89.88,78.22,0.99,2,2,2,,,88.65,3.92,pass,ahead
S0001,S0001-DS102-1,DS102,1,7,88.21,100.0,,,0.0,0,0,0,84.67,85.71,86.63,89.88,78.22,0.85,2,2,2,84.67,,88.65,3.92,pass,ahead
S0001,S0001-DS102-1,DS102,1,8,87.84,100.0,,85.35,0.68,0,0,1,84.67,87.5,86.78,89.88,80.6,0.83,2,2,3,84.67,,88.65,3.92,pass,ahead
S0001,S0001-DS102-1,DS102,1,9,84.98,100.0,90.21,,0.35,0,1,0,84.67,88.89,86.58,89.99,80.6,0.78,2,3,3,84.67,,88.65,3.92,pass,ahead
S0001,S0001-DS102-1,DS102,1,10,89.42,100.0,,,0.0,0,0,0,84.67,90.0,86.87,89.99,80.6,0.7,2,3,3,84.67,,88.65,3.92,pass,ahead
S0001,S0001-DS102-1,DS102,1,11,87.24,100.0,,88.43,0.42,0,0,1,84.67,90.91,86.9,89.99,82.56,0.67,2,3,4,84.67,,88.65,3.92,pass,ahead
S0001,S0001-DS102-1,DS102,1,12,77.92,100.0,81.98,,0.99,0,1,0,84.67,91.67,86.15,87.98,82.56,0.7,2,4,4,84.67,,88.65,3.92,pass,ahead
S0001,S0001-DS102-1,DS102,1,13,91.75,0.0,,,0.0,0,0,0,84.67,84.62,86.58,87.98,82.56,0.65,2,4,4,84.67,,88.65,3.92,pass,ahead
S0001,S0001-DS102-1,DS102,1,14,96.39,100.0,,,0.0,0,0,0,84.67,85.71,87.28,87.98,82.56,0.6,2,4,4,84.67,93.95,88.65,3.92,pass,ahead
S0001,S0001-ML201-1,ML201,1,1,72.5,100.0,,,0.0,0,0,0,,100.0,72.5,,,0.0,0,0,0,,,72.7,2.76,pass,on_track
S0001,S0001-ML201-1,ML201,1,2,69.76,0.0,,68.18,0.62,0,0,1,,50.0,71.13,,68.18,0.31,0,0,1,,,72.7,2.76,pass,on_track
S0001,S0001-ML201-1,ML201,1,3,67.72,100.0,74.61,,0.23,0,1,0,,66.67,69.99,74.61,68.18,0.28,0,1,1,,,72.7,2.76,pass,on_track
S0001,S0001-ML201-1,ML201,1,4,68.43,100.0,,,0.0,0,0,0,,75.0,69.6,74.61,68.18,0.21,0,1,1,,,72.7,2.76,pass,on_track
S0001,S0001-ML201-1,ML201,1,5,71.18,0.0,,67.29,1.01,0,0,1,,60.0,69.92,74.61,67.74,0.37,0,1,2,,,72.7,2.76,pass,on_track
S0001,S0001-ML201-1,ML201,1,6,64.16,100.0,79.17,,0.81,0,1,0,,66.67,68.96,76.89,67.74,0.45,0,2,2,,,72.7,2.76,pass,on_track
S0001,S0001-ML201-1,ML201,1,7,68.25,100.0,,,0.0,0,0,0,64.22,71.43,68.86,76.89,67.74,0.38,0,2,2,64.22,,72.7,2.76,pass,on_track
S0001,S0001-ML201-1,ML201,1,8,75.89,100.0,,84.69,1.12,0,0,1,64.22,75.0,69.74,76.89,73.39,0.47,0,2,3,64.22,,72.7,2.76,pass,on_track
S0001,S0001-ML201-1,ML201,1,9,79.71,100.0,85.95,,0.72,0,1,0,64.22,77.78,70.84,79.91,73.39,0.5,0,3,3,64.22,,72.7,2.76,pass,on_track
S0001,S0001-ML201-1,ML201,1,10,73.16,100.0,,,0.0,0,0,0,64.22,80.0,71.08,79.91,73.39,0.45,0,3,3,64.22,,72.7,2.76,pass,on_track
S0001,S0001-ML201-1,ML201,1,11,81.97,100.0,,85.5,4.34,0,0,1,64.22,81.82,72.07,79.91,76.42,0.81,0,3,4,64.22,,72.7,2.76,pass,on_track
S0001,S0001-ML201-1,ML201,1,12,70.12,100.0,63.21,,1.13,0,1,0,64.22,83.33,71.9,75.74,76.42,0.83,0,4,4,64.22,,72.7,2.76,pass,on_track
