task,class,bin,mean_predicted_probability,observed_fraction
outcome,enroll,0,0.0026904949924210085,0.0
outcome,enroll,1,0.008141459072940052,0.0
outcome,enroll,2,0.019320366699248553,0.0
outcome,enroll,3,0.04422993065789342,0.015
outcome,enroll,4,0.08734844639897346,0.06
outcome,enroll,5,0.1781042615696788,0.14
outcome,enroll,6,0.4016440588235855,0.34
outcome,enroll,7,0.7251172372698784,0.595
outcome,enroll,8,0.9111973452568054,0.935
outcome,enroll,9,0.9892438796162605,0.995
pace,behind,0,0.0014147938846144825,0.0
pace,behind,1,0.0022741547180339695,0.0
pace,behind,2,0.0034423393826000393,0.005
pace,behind,3,0.005567174472380429,0.0
pace,behind,4,0.009974814709275961,0.01
pace,behind,5,0.018748210119083522,0.03
pace,behind,6,0.04176778769120574,0.03
pace,behind,7,0.10849567685276269,0.055
pace,behind,8,0.31743591025471685,0.31
pace,behind,9,0.7929063028097153,0.76
pace,on_track,0,0.024656439579557626,0.02
pace,on_track,1,0.10306983292102814,0.095
pace,on_track,2,0.2441250592470169,0.38
pace,on_track,3,0.45668830811977384,0.47
pace,on_track,4,0.6303627556562423,0.615
pace,on_track,5,0.7669748213887214,0.775
pace,on_track,6,0.8462638622522354,0.925
pace,on_track,7,0.891651839017868,0.93
pace,on_track,8,0.9268338134884835,0.965
pace,on_track,9,0.9585978212952614,0.945
pace,ahead,0,0.0016386693311505952,0.0
pace,ahead,1,0.0035450183949433268,0.0
pace,ahead,2,0.008229038324207067,0.0
pace,ahead,3,0.022542044599540532,0.02
pace,ahead,4,0.05291432090103626,0.04
pace,ahead,5,0.12268640514463186,0.07
pace,ahead,6,0.2779580925405025,0.285
pace,ahead,7,0.5519072046875954,0.48
pace,ahead,8,0.839324666261673,0.79
pace,ahead,9,0.9680028179287911,0.995
