week,average_grade,attendance,assignment_completion,quiz_completion
1,66.25067,83.9,0.0,0.0
2,66.41441666666667,84.53333333333333,0.0,1.0
3,66.25912333333333,85.4,1.0,0.0
4,66.0337,85.23333333333333,0.0,0.0
5,66.21761,85.1,0.0,0.819
6,66.03238,85.7,0.8466666666666667,0.0
7,66.20015666666667,84.4,0.0,0.0
8,66.45869333333333,84.23333333333333,0.0,0.8143333333333334
9,66.40934999999999,85.83333333333333,0.8396666666666667,0.0
10,66.38174,85.26666666666667,0.0,0.0
11,66.59866000000001,84.66666666666667,0.0,0.824
12,66.25907333333333,84.23333333333333,0.8386666666666667,0.0
13,66.53208,86.93333333333334,0.0,0.0
14,67.04338666666666,84.5,0.0,0.0
